hospName,topWait,updateTime
Prince of Wales Hospital,Over 2 hours,2/11/2019 4:15pm
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,2/11/2019 4:15pm
Queen Elizabeth Hospital,Over 1 hour,2/11/2019 4:15pm
Queen Mary Hospital,Over 2 hours,2/11/2019 4:15pm
Ruttonjee Hospital,Over 3 hours,2/11/2019 4:15pm
St John Hospital,Around 1 hour,2/11/2019 4:15pm
Tseung Kwan O Hospital,Over 3 hours,2/11/2019 4:15pm
Tuen Mun Hospital,Over 4 hours,2/11/2019 4:15pm
Tin Shui Wai Hospital,Over 3 hours,2/11/2019 4:15pm
United Christian Hospital,Over 6 hours,2/11/2019 4:15pm
Yan Chai Hospital,Over 4 hours,2/11/2019 4:15pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 4:30pm
Caritas Medical Centre,Over 2 hours,2/11/2019 4:30pm
Kwong Wah Hospital,Over 4 hours,2/11/2019 4:30pm
North District Hospital,Over 3 hours,2/11/2019 4:30pm
North Lantau Hospital,Over 2 hours,2/11/2019 4:30pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 4:30pm
Pok Oi Hospital,Over 2 hours,2/11/2019 4:30pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 4:30pm
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,2/11/2019 4:30pm
Queen Elizabeth Hospital,Over 2 hours,2/11/2019 4:30pm
Queen Mary Hospital,Over 2 hours,2/11/2019 4:30pm
Ruttonjee Hospital,Over 3 hours,2/11/2019 4:30pm
St John Hospital,Around 1 hour,2/11/2019 4:30pm
Tseung Kwan O Hospital,Over 3 hours,2/11/2019 4:30pm
Tuen Mun Hospital,Over 4 hours,2/11/2019 4:30pm
Tin Shui Wai Hospital,Over 3 hours,2/11/2019 4:30pm
United Christian Hospital,Over 6 hours,2/11/2019 4:30pm
Yan Chai Hospital,Over 4 hours,2/11/2019 4:30pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 4:45pm
Caritas Medical Centre,Over 2 hours,2/11/2019 4:45pm
Kwong Wah Hospital,Over 4 hours,2/11/2019 4:45pm
North District Hospital,Over 3 hours,2/11/2019 4:45pm
North Lantau Hospital,Over 2 hours,2/11/2019 4:45pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 4:45pm
Pok Oi Hospital,Over 2 hours,2/11/2019 4:45pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 4:45pm
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,2/11/2019 4:45pm
Queen Elizabeth Hospital,Over 2 hours,2/11/2019 4:45pm
Queen Mary Hospital,Over 2 hours,2/11/2019 4:45pm
Ruttonjee Hospital,Over 3 hours,2/11/2019 4:45pm
St John Hospital,Around 1 hour,2/11/2019 4:45pm
Tseung Kwan O Hospital,Over 3 hours,2/11/2019 4:45pm
Tuen Mun Hospital,Over 4 hours,2/11/2019 4:45pm
Tin Shui Wai Hospital,Over 3 hours,2/11/2019 4:45pm
United Christian Hospital,Over 6 hours,2/11/2019 4:45pm
Yan Chai Hospital,Over 4 hours,2/11/2019 4:45pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 5:00pm
Caritas Medical Centre,Over 2 hours,2/11/2019 5:00pm
Kwong Wah Hospital,Over 5 hours,2/11/2019 5:00pm
North District Hospital,Over 3 hours,2/11/2019 5:00pm
North Lantau Hospital,Over 2 hours,2/11/2019 5:00pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 5:00pm
Pok Oi Hospital,Over 2 hours,2/11/2019 5:00pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 5:00pm
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,2/11/2019 5:00pm
Queen Elizabeth Hospital,Over 3 hours,2/11/2019 5:00pm
Queen Mary Hospital,Over 2 hours,2/11/2019 5:00pm
Ruttonjee Hospital,Over 3 hours,2/11/2019 5:00pm
St John Hospital,Around 1 hour,2/11/2019 5:00pm
Tseung Kwan O Hospital,Over 3 hours,2/11/2019 5:00pm
Tuen Mun Hospital,Over 4 hours,2/11/2019 5:00pm
Tin Shui Wai Hospital,Over 3 hours,2/11/2019 5:00pm
United Christian Hospital,Over 6 hours,2/11/2019 5:00pm
Yan Chai Hospital,Over 4 hours,2/11/2019 5:00pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 5:15pm
Caritas Medical Centre,Over 1 hour,2/11/2019 5:15pm
Kwong Wah Hospital,Over 5 hours,2/11/2019 5:15pm
North District Hospital,Over 3 hours,2/11/2019 5:15pm
North Lantau Hospital,Over 2 hours,2/11/2019 5:15pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 5:15pm
Pok Oi Hospital,Over 1 hour,2/11/2019 5:15pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 5:15pm
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,2/11/2019 5:15pm
Queen Elizabeth Hospital,Over 3 hours,2/11/2019 5:15pm
Queen Mary Hospital,Over 2 hours,2/11/2019 5:15pm
Ruttonjee Hospital,Over 3 hours,2/11/2019 5:15pm
St John Hospital,Around 1 hour,2/11/2019 5:15pm
Tseung Kwan O Hospital,Over 3 hours,2/11/2019 5:15pm
Tuen Mun Hospital,Over 4 hours,2/11/2019 5:15pm
Tin Shui Wai Hospital,Over 3 hours,2/11/2019 5:15pm
United Christian Hospital,Over 6 hours,2/11/2019 5:15pm
Yan Chai Hospital,Over 4 hours,2/11/2019 5:15pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 5:30pm
Caritas Medical Centre,Over 1 hour,2/11/2019 5:30pm
Kwong Wah Hospital,Over 5 hours,2/11/2019 5:30pm
North District Hospital,Over 1 hour,2/11/2019 5:30pm
North Lantau Hospital,Over 2 hours,2/11/2019 5:30pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 5:30pm
Pok Oi Hospital,Over 1 hour,2/11/2019 5:30pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 5:30pm
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,2/11/2019 5:30pm
Queen Elizabeth Hospital,Over 3 hours,2/11/2019 5:30pm
Queen Mary Hospital,Over 2 hours,2/11/2019 5:30pm
Ruttonjee Hospital,Over 3 hours,2/11/2019 5:30pm
St John Hospital,Around 1 hour,2/11/2019 5:30pm
Tseung Kwan O Hospital,Over 3 hours,2/11/2019 5:30pm
Tuen Mun Hospital,Over 4 hours,2/11/2019 5:30pm
Tin Shui Wai Hospital,Over 3 hours,2/11/2019 5:30pm
United Christian Hospital,Over 6 hours,2/11/2019 5:30pm
Yan Chai Hospital,Over 4 hours,2/11/2019 5:30pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 5:45pm
Caritas Medical Centre,Over 1 hour,2/11/2019 5:45pm
Kwong Wah Hospital,Over 5 hours,2/11/2019 5:45pm
North District Hospital,Over 1 hour,2/11/2019 5:45pm
North Lantau Hospital,Over 2 hours,2/11/2019 5:45pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 5:45pm
Pok Oi Hospital,Over 1 hour,2/11/2019 5:45pm
Prince of Wales Hospital,Over 3 hours,2/11/2019 5:45pm
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,2/11/2019 5:45pm
Queen Elizabeth Hospital,Over 3 hours,2/11/2019 5:45pm
Queen Mary Hospital,Over 2 hours,2/11/2019 5:45pm
Ruttonjee Hospital,Over 3 hours,2/11/2019 5:45pm
St John Hospital,Around 1 hour,2/11/2019 5:45pm
Tseung Kwan O Hospital,Over 3 hours,2/11/2019 5:45pm
Tuen Mun Hospital,Over 3 hours,2/11/2019 5:45pm
Tin Shui Wai Hospital,Over 3 hours,2/11/2019 5:45pm
United Christian Hospital,Over 6 hours,2/11/2019 5:45pm
Yan Chai Hospital,Over 3 hours,2/11/2019 5:45pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 6:00pm
Caritas Medical Centre,Over 1 hour,2/11/2019 6:00pm
Kwong Wah Hospital,Over 5 hours,2/11/2019 6:00pm
North District Hospital,Over 1 hour,2/11/2019 6:00pm
North Lantau Hospital,Over 2 hours,2/11/2019 6:00pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 6:00pm
Pok Oi Hospital,Over 1 hour,2/11/2019 6:00pm
Prince of Wales Hospital,Over 3 hours,2/11/2019 6:00pm
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,2/11/2019 6:00pm
Queen Elizabeth Hospital,Over 3 hours,2/11/2019 6:00pm
Queen Mary Hospital,Over 2 hours,2/11/2019 6:00pm
Ruttonjee Hospital,Over 3 hours,2/11/2019 6:00pm
St John Hospital,Around 1 hour,2/11/2019 6:00pm
Tseung Kwan O Hospital,Over 3 hours,2/11/2019 6:00pm
Tuen Mun Hospital,Over 3 hours,2/11/2019 6:00pm
Tin Shui Wai Hospital,Over 2 hours,2/11/2019 6:00pm
United Christian Hospital,Over 6 hours,2/11/2019 6:00pm
Yan Chai Hospital,Over 3 hours,2/11/2019 6:00pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 6:15pm
Caritas Medical Centre,Over 1 hour,2/11/2019 6:15pm
Kwong Wah Hospital,Over 5 hours,2/11/2019 6:15pm
North District Hospital,Over 1 hour,2/11/2019 6:15pm
North Lantau Hospital,Over 1 hour,2/11/2019 6:15pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 6:15pm
Pok Oi Hospital,Over 1 hour,2/11/2019 6:15pm
Prince of Wales Hospital,Over 3 hours,2/11/2019 6:15pm
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,2/11/2019 6:15pm
Queen Elizabeth Hospital,Over 3 hours,2/11/2019 6:15pm
Queen Mary Hospital,Over 2 hours,2/11/2019 6:15pm
Ruttonjee Hospital,Over 2 hours,2/11/2019 6:15pm
St John Hospital,Around 1 hour,2/11/2019 6:15pm
Tseung Kwan O Hospital,Over 3 hours,2/11/2019 6:15pm
Tuen Mun Hospital,Over 2 hours,2/11/2019 6:15pm
Tin Shui Wai Hospital,Over 2 hours,2/11/2019 6:15pm
United Christian Hospital,Over 6 hours,2/11/2019 6:15pm
Yan Chai Hospital,Over 3 hours,2/11/2019 6:15pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 6:30pm
Caritas Medical Centre,Over 1 hour,2/11/2019 6:30pm
Kwong Wah Hospital,Over 5 hours,2/11/2019 6:30pm
North District Hospital,Around 1 hour,2/11/2019 6:30pm
North Lantau Hospital,Over 1 hour,2/11/2019 6:30pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 6:30pm
Pok Oi Hospital,Over 1 hour,2/11/2019 6:30pm
Prince of Wales Hospital,Over 3 hours,2/11/2019 6:30pm
Pamela Youde Nethersole Eastern Hospital,Around 1 hour,2/11/2019 6:30pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 6:30pm
Queen Mary Hospital,Over 2 hours,2/11/2019 6:30pm
Ruttonjee Hospital,Over 2 hours,2/11/2019 6:30pm
St John Hospital,Around 1 hour,2/11/2019 6:30pm
Tseung Kwan O Hospital,Over 3 hours,2/11/2019 6:30pm
Tuen Mun Hospital,Over 2 hours,2/11/2019 6:30pm
Tin Shui Wai Hospital,Over 2 hours,2/11/2019 6:30pm
United Christian Hospital,Over 5 hours,2/11/2019 6:30pm
Yan Chai Hospital,Over 2 hours,2/11/2019 6:30pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 6:45pm
Caritas Medical Centre,Over 1 hour,2/11/2019 6:45pm
Kwong Wah Hospital,Over 5 hours,2/11/2019 6:45pm
North District Hospital,Over 1 hour,2/11/2019 6:45pm
North Lantau Hospital,Around 1 hour,2/11/2019 6:45pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 6:45pm
Pok Oi Hospital,Over 1 hour,2/11/2019 6:45pm
Prince of Wales Hospital,Over 3 hours,2/11/2019 6:45pm
Pamela Youde Nethersole Eastern Hospital,Over 1 hour,2/11/2019 6:45pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 6:45pm
Queen Mary Hospital,Over 2 hours,2/11/2019 6:45pm
Ruttonjee Hospital,Over 2 hours,2/11/2019 6:45pm
St John Hospital,Around 1 hour,2/11/2019 6:45pm
Tseung Kwan O Hospital,Over 3 hours,2/11/2019 6:45pm
Tuen Mun Hospital,Over 2 hours,2/11/2019 6:45pm
Tin Shui Wai Hospital,Over 2 hours,2/11/2019 6:45pm
United Christian Hospital,Over 5 hours,2/11/2019 6:45pm
Yan Chai Hospital,Over 2 hours,2/11/2019 6:45pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 7:00pm
Caritas Medical Centre,Over 1 hour,2/11/2019 7:00pm
Kwong Wah Hospital,Over 5 hours,2/11/2019 7:00pm
North District Hospital,Over 1 hour,2/11/2019 7:00pm
North Lantau Hospital,Around 1 hour,2/11/2019 7:00pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 7:00pm
Pok Oi Hospital,Over 1 hour,2/11/2019 7:00pm
Prince of Wales Hospital,Over 3 hours,2/11/2019 7:00pm
Pamela Youde Nethersole Eastern Hospital,Around 1 hour,2/11/2019 7:00pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 7:00pm
Queen Mary Hospital,Over 2 hours,2/11/2019 7:00pm
Ruttonjee Hospital,Over 2 hours,2/11/2019 7:00pm
St John Hospital,Around 1 hour,2/11/2019 7:00pm
Tseung Kwan O Hospital,Over 2 hours,2/11/2019 7:00pm
Tuen Mun Hospital,Over 3 hours,2/11/2019 7:00pm
Tin Shui Wai Hospital,Over 2 hours,2/11/2019 7:00pm
United Christian Hospital,Over 5 hours,2/11/2019 7:00pm
Yan Chai Hospital,Over 2 hours,2/11/2019 7:00pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 7:15pm
Caritas Medical Centre,Over 1 hour,2/11/2019 7:15pm
Kwong Wah Hospital,Over 5 hours,2/11/2019 7:15pm
North District Hospital,Around 1 hour,2/11/2019 7:15pm
North Lantau Hospital,Around 1 hour,2/11/2019 7:15pm
Princess Margaret Hospital,Over 4 hours,2/11/2019 7:15pm
Pok Oi Hospital,Over 1 hour,2/11/2019 7:15pm
Prince of Wales Hospital,Over 3 hours,2/11/2019 7:15pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 7:15pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 7:15pm
Queen Mary Hospital,Over 2 hours,2/11/2019 7:15pm
Ruttonjee Hospital,Over 2 hours,2/11/2019 7:15pm
St John Hospital,Around 1 hour,2/11/2019 7:15pm
Tseung Kwan O Hospital,Over 2 hours,2/11/2019 7:15pm
Tuen Mun Hospital,Over 3 hours,2/11/2019 7:15pm
Tin Shui Wai Hospital,Over 1 hour,2/11/2019 7:15pm
United Christian Hospital,Over 5 hours,2/11/2019 7:15pm
Yan Chai Hospital,Over 2 hours,2/11/2019 7:15pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 7:30pm
Caritas Medical Centre,Over 1 hour,2/11/2019 7:30pm
Kwong Wah Hospital,Over 5 hours,2/11/2019 7:30pm
North District Hospital,Around 1 hour,2/11/2019 7:30pm
North Lantau Hospital,Around 1 hour,2/11/2019 7:30pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 7:30pm
Pok Oi Hospital,Over 1 hour,2/11/2019 7:30pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 7:30pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 7:30pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 7:30pm
Queen Mary Hospital,Over 2 hours,2/11/2019 7:30pm
Ruttonjee Hospital,Over 1 hour,2/11/2019 7:30pm
St John Hospital,Around 1 hour,2/11/2019 7:30pm
Tseung Kwan O Hospital,Over 2 hours,2/11/2019 7:30pm
Tuen Mun Hospital,Over 3 hours,2/11/2019 7:30pm
Tin Shui Wai Hospital,Over 1 hour,2/11/2019 7:30pm
United Christian Hospital,Over 5 hours,2/11/2019 7:30pm
Yan Chai Hospital,Over 2 hours,2/11/2019 7:30pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 7:45pm
Caritas Medical Centre,Over 2 hours,2/11/2019 7:45pm
Kwong Wah Hospital,Over 4 hours,2/11/2019 7:45pm
North District Hospital,Over 1 hour,2/11/2019 7:45pm
North Lantau Hospital,Over 1 hour,2/11/2019 7:45pm
Princess Margaret Hospital,Over 2 hours,2/11/2019 7:45pm
Pok Oi Hospital,Over 1 hour,2/11/2019 7:45pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 7:45pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 7:45pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 7:45pm
Queen Mary Hospital,Over 2 hours,2/11/2019 7:45pm
Ruttonjee Hospital,Over 1 hour,2/11/2019 7:45pm
St John Hospital,Around 1 hour,2/11/2019 7:45pm
Tseung Kwan O Hospital,Over 2 hours,2/11/2019 7:45pm
Tuen Mun Hospital,Over 3 hours,2/11/2019 7:45pm
Tin Shui Wai Hospital,Over 1 hour,2/11/2019 7:45pm
United Christian Hospital,Over 5 hours,2/11/2019 7:45pm
Yan Chai Hospital,Over 2 hours,2/11/2019 7:45pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 8:00pm
Caritas Medical Centre,Over 2 hours,2/11/2019 8:00pm
Kwong Wah Hospital,Over 3 hours,2/11/2019 8:00pm
North District Hospital,Over 1 hour,2/11/2019 8:00pm
North Lantau Hospital,Over 1 hour,2/11/2019 8:00pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 8:00pm
Pok Oi Hospital,Over 1 hour,2/11/2019 8:00pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 8:00pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 8:00pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 8:00pm
Queen Mary Hospital,Over 2 hours,2/11/2019 8:00pm
Ruttonjee Hospital,Over 1 hour,2/11/2019 8:00pm
St John Hospital,Around 1 hour,2/11/2019 8:00pm
Tseung Kwan O Hospital,Over 2 hours,2/11/2019 8:00pm
Tuen Mun Hospital,Over 3 hours,2/11/2019 8:00pm
Tin Shui Wai Hospital,Over 1 hour,2/11/2019 8:00pm
United Christian Hospital,Over 4 hours,2/11/2019 8:00pm
Yan Chai Hospital,Over 2 hours,2/11/2019 8:00pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 8:15pm
Caritas Medical Centre,Over 2 hours,2/11/2019 8:15pm
Kwong Wah Hospital,Over 2 hours,2/11/2019 8:15pm
North District Hospital,Over 1 hour,2/11/2019 8:15pm
North Lantau Hospital,Over 1 hour,2/11/2019 8:15pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 8:15pm
Pok Oi Hospital,Over 1 hour,2/11/2019 8:15pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 8:15pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 8:15pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 8:15pm
Queen Mary Hospital,Over 2 hours,2/11/2019 8:15pm
Ruttonjee Hospital,Over 1 hour,2/11/2019 8:15pm
St John Hospital,Around 1 hour,2/11/2019 8:15pm
Tseung Kwan O Hospital,Over 2 hours,2/11/2019 8:15pm
Tuen Mun Hospital,Around 1 hour,2/11/2019 8:15pm
Tin Shui Wai Hospital,Over 1 hour,2/11/2019 8:15pm
United Christian Hospital,Over 5 hours,2/11/2019 8:15pm
Yan Chai Hospital,Over 2 hours,2/11/2019 8:15pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 8:30pm
Caritas Medical Centre,Over 2 hours,2/11/2019 8:30pm
Kwong Wah Hospital,Over 2 hours,2/11/2019 8:30pm
North District Hospital,Over 1 hour,2/11/2019 8:30pm
North Lantau Hospital,Over 1 hour,2/11/2019 8:30pm
Princess Margaret Hospital,Over 3 hours,2/11/2019 8:30pm
Pok Oi Hospital,Over 1 hour,2/11/2019 8:30pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 8:30pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 8:30pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 8:30pm
Queen Mary Hospital,Over 2 hours,2/11/2019 8:30pm
Ruttonjee Hospital,Over 1 hour,2/11/2019 8:30pm
St John Hospital,Around 1 hour,2/11/2019 8:30pm
Tseung Kwan O Hospital,Over 2 hours,2/11/2019 8:30pm
Tuen Mun Hospital,Around 1 hour,2/11/2019 8:30pm
Tin Shui Wai Hospital,Over 1 hour,2/11/2019 8:30pm
United Christian Hospital,Over 5 hours,2/11/2019 8:30pm
Yan Chai Hospital,Over 3 hours,2/11/2019 8:30pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 8:45pm
Caritas Medical Centre,Over 2 hours,2/11/2019 8:45pm
Kwong Wah Hospital,Over 1 hour,2/11/2019 8:45pm
North District Hospital,Over 1 hour,2/11/2019 8:45pm
North Lantau Hospital,Over 1 hour,2/11/2019 8:45pm
Princess Margaret Hospital,Over 1 hour,2/11/2019 8:45pm
Pok Oi Hospital,Over 1 hour,2/11/2019 8:45pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 8:45pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 8:45pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 8:45pm
Queen Mary Hospital,Over 2 hours,2/11/2019 8:45pm
Ruttonjee Hospital,Over 1 hour,2/11/2019 8:45pm
St John Hospital,Around 1 hour,2/11/2019 8:45pm
Tseung Kwan O Hospital,Over 2 hours,2/11/2019 8:45pm
Tuen Mun Hospital,Around 1 hour,2/11/2019 8:45pm
Tin Shui Wai Hospital,Over 1 hour,2/11/2019 8:45pm
United Christian Hospital,Over 5 hours,2/11/2019 8:45pm
Yan Chai Hospital,Over 3 hours,2/11/2019 8:45pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 9:00pm
Caritas Medical Centre,Over 1 hour,2/11/2019 9:00pm
Kwong Wah Hospital,Over 3 hours,2/11/2019 9:00pm
North District Hospital,Over 1 hour,2/11/2019 9:00pm
North Lantau Hospital,Over 1 hour,2/11/2019 9:00pm
Princess Margaret Hospital,Over 1 hour,2/11/2019 9:00pm
Pok Oi Hospital,Over 1 hour,2/11/2019 9:00pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 9:00pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 9:00pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 9:00pm
Queen Mary Hospital,Over 2 hours,2/11/2019 9:00pm
Ruttonjee Hospital,Over 1 hour,2/11/2019 9:00pm
St John Hospital,Around 1 hour,2/11/2019 9:00pm
Tseung Kwan O Hospital,Over 2 hours,2/11/2019 9:00pm
Tuen Mun Hospital,Around 1 hour,2/11/2019 9:00pm
Tin Shui Wai Hospital,Over 1 hour,2/11/2019 9:00pm
United Christian Hospital,Over 5 hours,2/11/2019 9:00pm
Yan Chai Hospital,Over 3 hours,2/11/2019 9:00pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 9:15pm
Caritas Medical Centre,Over 1 hour,2/11/2019 9:15pm
Kwong Wah Hospital,Over 3 hours,2/11/2019 9:15pm
North District Hospital,Over 1 hour,2/11/2019 9:15pm
North Lantau Hospital,Over 1 hour,2/11/2019 9:15pm
Princess Margaret Hospital,Over 1 hour,2/11/2019 9:15pm
Pok Oi Hospital,Over 1 hour,2/11/2019 9:15pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 9:15pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 9:15pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 9:15pm
Queen Mary Hospital,Over 2 hours,2/11/2019 9:15pm
Ruttonjee Hospital,Over 2 hours,2/11/2019 9:15pm
St John Hospital,Around 1 hour,2/11/2019 9:15pm
Tseung Kwan O Hospital,Over 2 hours,2/11/2019 9:15pm
Tuen Mun Hospital,Around 1 hour,2/11/2019 9:15pm
Tin Shui Wai Hospital,Over 1 hour,2/11/2019 9:15pm
United Christian Hospital,Over 5 hours,2/11/2019 9:15pm
Yan Chai Hospital,Over 3 hours,2/11/2019 9:15pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 9:30pm
Caritas Medical Centre,Over 1 hour,2/11/2019 9:30pm
Kwong Wah Hospital,Over 3 hours,2/11/2019 9:30pm
North District Hospital,Over 1 hour,2/11/2019 9:30pm
North Lantau Hospital,Over 1 hour,2/11/2019 9:30pm
Princess Margaret Hospital,Over 1 hour,2/11/2019 9:30pm
Pok Oi Hospital,Over 6 hours,2/11/2019 9:30pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 9:30pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 9:30pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 9:30pm
Queen Mary Hospital,Over 2 hours,2/11/2019 9:30pm
Ruttonjee Hospital,Over 2 hours,2/11/2019 9:30pm
St John Hospital,Around 1 hour,2/11/2019 9:30pm
Tseung Kwan O Hospital,Over 4 hours,2/11/2019 9:30pm
Tuen Mun Hospital,Over 1 hour,2/11/2019 9:30pm
Tin Shui Wai Hospital,Over 1 hour,2/11/2019 9:30pm
United Christian Hospital,Over 5 hours,2/11/2019 9:30pm
Yan Chai Hospital,Over 3 hours,2/11/2019 9:30pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 9:45pm
Caritas Medical Centre,Over 1 hour,2/11/2019 9:45pm
Kwong Wah Hospital,Over 3 hours,2/11/2019 9:45pm
North District Hospital,Over 2 hours,2/11/2019 9:45pm
North Lantau Hospital,Over 1 hour,2/11/2019 9:45pm
Princess Margaret Hospital,Over 1 hour,2/11/2019 9:45pm
Pok Oi Hospital,Over 6 hours,2/11/2019 9:45pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 9:45pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 9:45pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 9:45pm
Queen Mary Hospital,Over 2 hours,2/11/2019 9:45pm
Ruttonjee Hospital,Over 2 hours,2/11/2019 9:45pm
St John Hospital,Around 1 hour,2/11/2019 9:45pm
Tseung Kwan O Hospital,Over 4 hours,2/11/2019 9:45pm
Tuen Mun Hospital,Over 1 hour,2/11/2019 9:45pm
Tin Shui Wai Hospital,Over 1 hour,2/11/2019 9:45pm
United Christian Hospital,Over 5 hours,2/11/2019 9:45pm
Yan Chai Hospital,Over 3 hours,2/11/2019 9:45pm
Alice Ho Miu Ling Nethersole Hospital,Over 1 hour,2/11/2019 10:00pm
Caritas Medical Centre,Over 1 hour,2/11/2019 10:00pm
Kwong Wah Hospital,Over 3 hours,2/11/2019 10:00pm
North District Hospital,Over 2 hours,2/11/2019 10:00pm
North Lantau Hospital,Over 1 hour,2/11/2019 10:00pm
Princess Margaret Hospital,Over 1 hour,2/11/2019 10:00pm
Pok Oi Hospital,Over 6 hours,2/11/2019 10:00pm
Prince of Wales Hospital,Over 2 hours,2/11/2019 10:00pm
Pamela Youde Nethersole Eastern Hospital,Over 2 hours,2/11/2019 10:00pm
Queen Elizabeth Hospital,Over 4 hours,2/11/2019 10:00pm
Queen Mary Hospital,Over 2 hours,2/11/2019 10:00pm
Ruttonjee Hospital,Over 2 hours,2/11/2019 10:00pm
